App,BUILD.àÍä—áX
É^ÉCÉgÉã,5ëw6íi-XVF-YVF BBB_1
éÅñº,ITEC
ó™èÃ,óYåíçHã∆
<â◊èdÉPÅ[ÉX>,ñ}ó·
V,âîíºâ◊èdéû
S,êœê·â◊èdéû
EXL,ínêkéûXLâ¡óÕ
EXR,ínêkéûXRâ¡óÕ
EYL,ínêkéûYLâ¡óÕ
EYR,ínêkéûYRâ¡óÕ
WXL,ïóâ◊èdéûXLâ¡óÕ
WXR,ïóâ◊èdéûXRâ¡óÕ
WYL,ïóâ◊èdéûYLâ¡óÕ
WYR,ïóâ◊èdéûYRâ¡óÕ
V+É¬1ÅES,[ëΩê·ãÊàÊ]í∑ä˙
V+É¬2ÅES+EXL,[ëΩê·ãÊàÊ]íZä˙ínêkéûXLâ¡óÕ
V+É¬2ÅES+EXR,[ëΩê·ãÊàÊ]íZä˙ínêkéûXRâ¡óÕ
V+É¬2ÅES+EYL,[ëΩê·ãÊàÊ]íZä˙ínêkéûYLâ¡óÕ
V+É¬2ÅES+EYR,[ëΩê·ãÊàÊ]íZä˙ínêkéûYRâ¡óÕ
V+É¬2ÅES+WXL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXLâ¡óÕ
V+É¬2ÅES+WXR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXRâ¡óÕ
V+É¬2ÅES+WYL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYLâ¡óÕ
V+É¬2ÅES+WYR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYRâ¡óÕ
<Së¢ëÂó¿ê›åvâûóÕ>
ó¿ïÑçÜ,äK,í ÇË,é≤,â◊èdÉPÅ[ÉX,ç∂í[M[kNm],åpéËM[kNm],íÜâõM[kNm],åpéËM[kNm],âEí[M[kNm],ç∂í[Q[kN],åpéËQ[kN],íÜâõQ[kN],åpéËQ[kN],âEí[Q[kN]
B49,RF,D,3A,V,-129.8,0.0,-97.4,0.0,0.0,0.0,0.0,26.1,0.0,52.3
B49,RF,D,4,V,0.0,0.0,-97.4,0.0,-129.8,-52.3,0.0,-26.1,0.0,0.0
B49,RF,D,4A,V,-129.8,0.0,-97.4,0.0,0.0,0.0,0.0,26.1,0.0,52.3
B49,RF,D,5,V,0.0,0.0,-97.4,0.0,-129.8,-52.3,0.0,-26.1,0.0,-0.0
B49,RF,D,5A,V,-129.8,0.0,-97.4,0.0,0.0,-0.0,0.0,26.1,0.0,52.3
B58,RF,D,6,V,0.0,0.0,-331.4,0.0,-394.1,-106.5,0.0,-51.9,0.0,2.8
B58,RF,D,7,V,-394.1,0.0,-261.8,0.0,0.0,50.8,0.0,78.8,0.0,106.8
B58,2F,E,1,V,0.1,0.0,-475.1,0.0,-742.3,-192.2,0.0,-148.5,0.0,-104.7
B58,2F,E,2,V,-742.3,0.0,-678.3,0.0,0.1,-25.2,0.0,97.7,0.0,220.5
B49,2F,E,3,V,0.0,0.0,-227.0,0.0,-302.7,-120.5,0.0,-60.3,0.0,0.0
B49,2F,E,3A,V,-302.7,0.0,-227.0,0.0,0.0,0.0,0.0,60.3,0.0,120.5
B49,2F,E,4,V,0.0,0.0,-227.0,0.0,-302.7,-120.5,0.0,-60.3,0.0,0.0
B49,2F,E,4A,V,-302.7,0.0,-227.0,0.0,0.0,0.0,0.0,60.3,0.0,120.5
B49,2F,E,5,V,0.0,0.0,-227.0,0.0,-302.7,-120.5,0.0,-60.3,0.0,-0.0
B49,2F,E,5A,V,-302.7,0.0,-227.0,0.0,0.0,0.0,0.0,60.3,0.0,120.5
B58,2F,E,6,V,0.1,0.0,-678.3,0.0,-742.3,-220.5,0.0,-97.7,0.0,25.2
B58,2F,E,7,V,-742.3,0.0,-475.1,0.0,0.1,104.7,0.0,148.5,0.0,192.2
B58,3F,E,1,V,0.1,0.0,-445.8,0.0,-696.5,-180.5,0.0,-139.3,0.0,-98.2
